Société / Secteur,Année,Croissance CA (%),Résultat Net (M MAD),Endettement (Gearing / Solvabilité)
,2025 (P),"+6,5%",68,Trésorerie saine
Maroc Leasing,2023,"0,048",72,Réglementaire
(Leasing),2024 (P),"0,055",85,Solide
,2025 (P),"0,062",98,Solide
Disway,2023,"0,025",102,Faible
(Distribution IT),2024 (P),"0,04",115,Structure saine
,2025 (P),"0,065",130,Trésorerie positive
CTM,2023,"0,08",38,Modéré
(Transport),2024 (P),"0,1",55,Désendettement
,2025 (P),"0,12",72,Maîtrisé
Cartier Saada,2023,"0,11",6,En amélioration
(Conserves/Export),2024 (P),"0,095",12,Stable
,2025 (P),"0,14",22,Sain
SMI,2023,"-5,00%",45,Faible
(Mines d'Argent),2024 (P),"0,15",95,Très Faible
,2025 (P),"0,18",130,Excellent
Delta Holding,2023,"0,062",185,Maîtrisé
(Holding diversifié),2024 (P),"0,05",205,Sain
,2025 (P),"0,058",225,Sain
Aluminium du Mar.,2023,"-2,50%",48,Modéré
(Industrie),2024 (P),"0,07",55,Stable
,2025 (P),"0,095",68,En baisse
Eqdom,2023,"0,038",155,Financier (Standard)
(Crédit conso),2024 (P),"0,045",170,Robuste
,2025 (P),"0,052",185,Robuste
S.M Monétique,2023,"0,075",22,Nul (Trésorerie)
(Technologie),2024 (P),"0,068",26,Excellent
,2025 (P),"0,08",32,Excellent
Aradei Capital,2023,"0,14",145 (FFO),Structurel (LTV < 40%)
(Foncière/REIT),2024 (P),"0,1",165,Maîtrisé
,2025 (P),"0,12",190,Optimisé
Delta Holding,2023,"0,062",185,Maîtrisé
(Holding diversifié),2024 (P),"0,05",205,Sain
,2025 (P),"0,058",225,Sain
Aluminium du Mar.,2023,"-2,50%",48,Modéré
(Industrie),2024 (P),"0,07",55,Stable
,2025 (P),"0,095",68,En baisse
Eqdom,2023,"0,038",155,Financier (Standard)
(Crédit conso),2024 (P),"0,045",170,Robuste
,2025 (P),"0,052",185,Robuste
S.M Monétique,2023,"0,075",22,Nul (Trésorerie)
(Technologie),2024 (P),"0,068",26,Excellent
,2025 (P),"0,08",32,Excellent
Aradei Capital,2023,"0,14",145 (FFO),Structurel (LTV < 40%)
(Foncière/REIT),2024 (P),"0,1",165,Maîtrisé
,2025 (P),"0,12",190,Optimisé
M2M Group,2023,"0,052",15,Nul (Excédentaire)
(Technologie/Paiement),2024 (P),"0,06",19,Trésorerie robuste
,2025 (P),"0,075",24,Trésorerie robuste
Risma,2023,"0,18",160,En fort désendettement
(Hôtellerie/Tourisme),2024 (P),"0,12",185,Maîtrisé
,2025 (P),"0,15",215,Sain
Unimer,2023,"-2,10%",18,Élevé
(Conserves de poisson),2024 (P),"0,055",28,En optimisation
,2025 (P),"0,08",40,Stable
Involys,2023,"0,028",2,Faible
(Logiciels/IT),2024 (P),"0,1",5,Maîtrisé
,2025 (P),"0,15",9,Amélioration du BFR
Maghrebail,2023,"0,042",85,Réglementaire (Stable)
(Leasing),2024 (P),"0,048",92,Solide
,2025 (P),"0,055",100,Solide
Maghreb Oxygène,2023,"0,025",14,Maîtrisé
(Gaz industriels),2024 (P),"0,04",18,Stable
,2025 (P),"0,055",22,Sain
Zellidja S.A.,2023,"0,01",5,Faible (Holding)
(Participations),2024 (P),"0,02",7,Stable
,2025 (P),"0,03",9,Stable
Fenie Brossette,2023,"0,05",-12 (Déficit),Élevé
(Équipements indus),2024 (P),"0,1",4,Sous restructuration
,2025 (P),"0,12",10,En amélioration
Rebab Company,2023,N/A,1,Quasi nul
(Investissement),2024 (P),N/A,"1,5",Très Faible
,2025 (P),N/A,2,Très Faible
IB Maroc.com,2023,"0,015",-5 (Déficit),Sous tension
(Services IT),2024 (P),"0,08",2,Redressement
,2025 (P),"0,15",6,En optimisation
TGCC,2023,"0,185",520,Maîtrisé (CAPEX)
(BTP/Construction),2024 (P),"0,15",580,Stable
,2025 (P),"0,14",650,En baisse
Label'Vie,2023,"0,118",815,Structurel (Expansion)
(Distribution),2024 (P),"0,105",940,Optimisé
,2025 (P),"0,12",1 080,Maîtrisé
Microdata,2023,"0,045",92,Nul (Trésorerie)
(IT/Services),2024 (P),"0,062",105,Excellent
,2025 (P),"0,08",118,Excellent
SRM (Matériel),2023,"-2,10%",-8 (Déficit),Élevé
(Équipements),2024 (P),"0,05",2,Sous surveillance
,2025 (P),"0,1",8,Redressement
Balima,2023,"0,012",18,Quasi Nul
(Immobilier loc),2024 (P),"0,025",20,Très sain
,2025 (P),"0,03",23,Très sain
Immorente Invest,2023,"0,12",65 (FFO),Faible (LTV < 30%)
(Foncière),2024 (P),"0,085",72,Très sain
,2025 (P),"0,1",80,Très sain
Colorado,2023,"0,031",52,Quasi nul
(Peinture/BTP),2024 (P),"0,045",58,Excédent de trésorerie
,2025 (P),"0,06",65,Excédent de trésorerie
Afric Industries,2023,"0,015",7,Faible
(Papier/Alu),2024 (P),"0,03","8,5",Stable
,2025 (P),"0,045",10,Stable
Ennakl Automobiles,2023,"0,09",165,Modéré
(Distribution Auto),2024 (P),"0,055",175,Stable
,2025 (P),"0,07",190,Maîtrisé
Zellidja,2023,N/A,4,Nul (Holding)
(Participations),2024 (P),N/A,5,Nul
,2025 (P),N/A,6,Nul
Maghrebail,2023,"+4,5%",88,Réglementaire (Stable)
(Leasing),2024 (P),"+5,0%",95,Solide
,2025 (P),"+6,2%",105,Solide
Maroc Leasing,2023,"+4,1%",75,Réglementaire
(Leasing),2024 (P),"+4,8%",82,Conforme
,2025 (P),"+5,5%",90,Conforme
Oulmès,2023,"+7,8%",42,Modéré
(Eaux minérales),2024 (P),"+6,5%",55,Stable
,2025 (P),"+8,0%",70,En désendettement
Rebab Company,2023,N/A,"1,2",Quasi Nul
(Holding),2024 (P),N/A,"1,5",Très Sain
,2025 (P),N/A,2,Très Sain
Stokvis Nord Afr.,2023,"-2,20%",-12 (Déficit),Élevé
(Matériel),2024 (P),"+4,0%",3,Sous surveillance
,2025 (P),"+9,5%",15,Redressement
Microdata,2023,"0,048",95,Nul (Trésorerie)
(Technologie),2024 (P),"0,07",108,Excellent
,2025 (P),"0,085",125,Excellent
S.M. Monétique,2023,"0,062",24,Très Faible
(Solutions Paiement),2024 (P),"0,075",29,Sain
,2025 (P),"0,09",35,Sain
Balima,2023,"0,015",19,Quasi Nul
(Immobilier),2024 (P),"0,02",21,Très Robuste
,2025 (P),"0,025",23,Très Robuste
Promopharm,2023,"0,039",72,Faible
(Industrie Pharma),2024 (P),"0,055",80,Stable
,2025 (P),"0,062",88,Stable
Rebab Company,2023,N/A,"1,4",Nul
(Participations),2024 (P),N/A,"1,6",Très Sain
,2025 (P),N/A,"1,9",Très Sain
